province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Hebei ,2025,Cangzhou City,130900,60000,河北,沧州
Jiangxi ,2025,Jiujiang City,360400,30000,江西,九江
Hubei ,2025,Jingmen City,420800,30000,湖北,荆门
Anhui ,2025,Chizhou City,341700,100000,安徽,池州
Shanxi ,2025,Yuncheng City,140800,40000,山西,运城
Shanxi ,2025,Yuncheng City,140800,50000,山西,运城
Anhui ,2025,Huaibei City,340600,40000,安徽,淮北
Anhui ,2025,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2025,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2025,Fuyang City,341200,4000,安徽,阜阳
Jiangxi ,2025,Ganzhou City,360700,8000,江西,赣州
Shandong ,2025,Dezhou City,371400,10000,山东,德州
Shandong ,2025,Dezhou City,371400,10000,山东,德州
Jiangxi ,2025,Ganzhou City,360700,78000,江西,赣州
Hubei ,2025,Xiantao City,429004,20000,湖北,仙桃
Anhui ,2025,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2025,Fuyang City,341200,6800,安徽,阜阳
Hunan ,2025,Yiyang City,430900,2000,湖南,益阳
Hunan ,2025,Huaihua City,431200,25000,湖南,怀化
Hunan ,2025,Huaihua City,431200,25000,湖南,怀化
Jiangxi ,2025,Ganzhou City,360700,50000,江西,赣州
Sichuan ,2025,Suining City,510900,100000,四川,遂宁
Shandong ,2025,Tai'an City,370900,10000,山东,泰安
Guangdong ,2025,Zhuhai City,440400,50000,广东,珠海
Hunan ,2025,Yueyang City,430600,10000,湖南,岳阳
Shanxi ,2025,Lvliang City,141100,50000,山西,吕梁
Hubei ,2025,Wuhan City,420100,20000,湖北,武汉
Guangdong ,2025,Guangzhou City,440100,15000,广东,广州
Guangdong ,2025,Jiangmen City,440700,300000,广东,江门
Sichuan ,2025,Yibin City,511500,100000,四川,宜宾
Shandong ,2025,Linyi City,371300,60000,山东,临沂
Inner Mongolia,2025,Ulanqab City,150900,25000,内蒙古,乌兰察布
Chongqing,2025,Chongqing City,500000,50000,重庆,重庆
Jiangsu ,2025,Lianyungang City,320700,8000,江苏,连云港
Guangdong ,2025,Huizhou City,441300,80000,广东,惠州
