year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2024,chongqing,11739.50484,0.0,11739.50484,117395.0484,11739.50484,0.0,baseline_inprov
2024,fujian,20036.1071799,12923.2891310355,7112.818048864499,71128.180488645,20036.1071799,0.0,baseline_inprov
2024,gansu,4131.48249736,2664.8062107972,1466.6762865628,14666.762865628,4131.48249736,0.0,baseline_inprov
2024,guangdong,105058.29503435,67762.60029715575,37295.69473719425,372956.94737194246,105058.29503435,0.0,baseline_inprov
2024,guangxi,12048.76911719,7771.456080587551,4277.31303660245,42773.130366024496,12048.76911719,0.0,baseline_inprov
2024,guizhou,6251.887109,4032.467185305,2219.419923695,22194.19923695,6251.887108999999,0.0,baseline_inprov
2024,hainan,6304.000054509999,0.0,6304.000054509999,63040.000545099996,6304.000054509999,0.0,baseline_inprov
2024,hebei,19790.873022,0.0,19790.873022,197908.73022,19790.873022,0.0,baseline_inprov
2024,heilongjiang,6306.05587751,0.0,6306.05587751,63060.5587751,6306.05587751,0.0,baseline_inprov
2024,henan,31541.4001425,20344.2030919125,11197.1970505875,111971.97050587498,31541.4001425,0.0,baseline_inprov
2024,hubei,20915.346873,13490.398733085,7424.948139915,74249.48139915,20915.346873,0.0,baseline_inprov
2024,hunan,21526.2348623,13884.421486183499,7641.813376116499,76418.133761165,21526.2348623,0.0,baseline_inprov
2024,inner mongolia,4470.53296118,0.0,4470.53296118,44705.3296118,4470.53296118,0.0,baseline_inprov
2024,jiangsu,34402.6656025,16000.0,18402.6656025,184026.656025,34402.6656025,0.0,baseline_inprov
2024,jiangxi,11391.1709679,8613.2509967235,3347.1048696324997,33471.048696325,11960.355866356,0.0,baseline_inprov
2024,jilin,4550.2543212,2934.914037174,1615.3402840259998,16153.402840259998,4550.2543212,0.0,baseline_inprov
2024,liaoning,6398.3606592999995,0.0,6398.3606592999995,63983.606593,6398.3606592999995,0.0,baseline_inprov
2024,ningxia,1182.38497715,762.63831026175,419.74666688825005,4197.4666688825,1182.38497715,0.0,baseline_inprov
2024,qinghai,1003.23345196,0.0,1003.23345196,10032.3345196,1003.23345196,0.0,baseline_inprov
2024,shaanxi,17256.2255039,11130.265450015499,6125.960053884501,61259.600538845,17256.2255039,0.0,baseline_inprov
2024,shandong,35930.9829617,0.0,35930.9829617,359309.829617,35930.9829617,0.0,baseline_inprov
2024,shanghai,31292.55591,10000.0,21292.55591,212925.55909999998,31292.55591,0.0,baseline_inprov
2024,shanxi,12651.3307668,0.0,12651.3307668,126513.30766800001,12651.3307668,0.0,baseline_inprov
2024,sichuan,28062.459725750003,18100.286523108753,9962.17320264125,99621.7320264125,28062.459725750003,0.0,baseline_inprov
2024,tianjin,16040.1637,0.0,16040.1637,160401.637,16040.1637,0.0,baseline_inprov
2024,tibet,352.16127157,0.0,352.16127157,3521.6127157,352.16127157,0.0,baseline_inprov
2024,xinjiang,2724.81850443,0.0,2724.81850443,27248.1850443,2724.81850443,0.0,baseline_inprov
2024,yunnan,8562.03584083,5522.51311733535,3039.52272349465,30395.227234946502,8562.03584083,0.0,baseline_inprov
2024,zhejiang,42288.5329095,32714.3820493275,12019.268245572499,120192.682455725,44733.6502949,0.0,baseline_inprov
2025,anhui,23419.9591648,12178.378765696001,11241.580399104,112415.80399103998,23419.9591648,0.0,baseline_inprov
2025,beijing,42749.86074,0.0,42749.86074,427498.6074,42749.86074,0.0,baseline_inprov
2025,chongqing,18235.82661,9482.6298372,8753.1967728,87531.967728,18235.82661,0.0,baseline_inprov
2025,fujian,25335.4864305,13174.452943860002,12161.033486639999,121610.3348664,25335.4864305,0.0,baseline_inprov
2025,gansu,4690.72355894,2439.1762506488,2251.5473082912,22515.473082911998,4690.72355894,0.0,baseline_inprov
2025,guangdong,134715.74411600002,70052.18694032,64663.55717568,646635.5717567999,134715.744116,0.0,baseline_inprov
2025,guangxi,18068.143563,9395.434652760001,8672.70891024,86727.0891024,18068.143563,0.0,baseline_inprov
2025,guizhou,8557.0261436,4449.6535946720005,4107.372548928,41073.72548928,8557.0261436,0.0,baseline_inprov
2025,hainan,10033.80791125,0.0,10033.80791125,100338.0791125,10033.80791125,0.0,baseline_inprov
2025,hebei,29539.9546074,19813.234405848,10069.216971552,100692.16971552001,29882.4513774,0.0,baseline_inprov
2025,heilongjiang,6215.50955575,0.0,6215.50955575,62155.095557500004,6215.50955575,0.0,baseline_inprov
2025,henan,42108.1542857,21896.240228564002,20211.914057136,202119.14057135998,42108.1542857,0.0,baseline_inprov
2025,hubei,26452.2737215,13755.18233518,12697.09138632,126970.9138632,26452.2737215,0.0,baseline_inprov
2025,hunan,27378.4885813,14236.814062276,13141.674519024,131416.74519024,27378.4885813,0.0,baseline_inprov
2025,inner mongolia,5567.04469167,2894.8632396684,2672.1814520016,26721.814520016,5567.04469167,0.0,baseline_inprov
2025,jiangsu,49432.201251,25704.744650520002,23727.45660048,237274.5660048,49432.201251000006,0.0,baseline_inprov
2025,jiangxi,14277.7943616,8595.55612396,5772.323088096,57723.23088096,14367.879212056,0.0,baseline_inprov
2025,jilin,5623.2017845,2924.06492794,2699.13685656,26991.368565599998,5623.2017845,0.0,baseline_inprov
2025,liaoning,8006.2119159,0.0,8006.2119159,80062.11915900001,8006.2119159,0.0,baseline_inprov
2025,ningxia,1560.50748022,811.4638897144,749.0435905055999,7490.435905056,1560.50748022,0.0,baseline_inprov
2025,qinghai,1194.65371562,0.0,1194.65371562,11946.5371562,1194.65371562,0.0,baseline_inprov
2025,shaanxi,21240.3674256,11044.991061312001,10195.376364288,101953.76364288,21240.3674256,0.0,baseline_inprov
2025,shandong,48356.3508511,29221.126602252003,19448.749184207998,194487.49184208,48669.875786460005,0.0,baseline_inprov
2025,shanghai,44792.64815,10000.0,34792.64815,347926.4815,44792.64815,0.0,baseline_inprov
2025,shanxi,16669.054849699998,10128.940783364,6652.501163376,66525.01163376,16781.44194674,0.0,baseline_inprov
2025,sichuan,39139.8584187,20352.726377724,18787.132040975997,187871.32040976,39139.858418699994,0.0,baseline_inprov
2025,tianjin,20290.79423,0.0,20290.79423,202907.9423,20290.79423,0.0,baseline_inprov
2025,tibet,398.32314793,0.0,398.32314793,3983.2314793,398.32314793,0.0,baseline_inprov
2025,xinjiang,3952.4819846,0.0,3952.4819846,39524.819846,3952.4819846,0.0,baseline_inprov
2025,yunnan,12764.3603498,6637.467381896001,6126.892967903999,61268.92967904,12764.360349800001,0.0,baseline_inprov
2025,zhejiang,61677.576177,39321.42418412,22913.77388304,229137.7388304,62235.19806716,0.0,baseline_inprov
2026,anhui,32475.4611233,17049.6170897325,15425.844033567499,154258.440335675,32475.461123299996,0.0,baseline_inprov
2026,beijing,53533.47515,0.0,53533.47515,535334.7515,53533.47515,0.0,baseline_inprov
2026,chongqing,27666.31845,14524.81718625,13141.501263749999,131415.01263749998,27666.31845,0.0,baseline_inprov
2026,fujian,33675.260147,17679.511577175,15995.748569824998,159957.48569824998,33675.26014699999,0.0,baseline_inprov
2026,gansu,6362.48700474,3340.3056774885,3022.1813272514996,30221.813272515,6362.48700474,0.0,baseline_inprov
2026,guangdong,186772.1771483,98055.39300285751,88716.78414544249,887167.8414544249,186772.1771483,0.0,baseline_inprov
2026,guangxi,28375.4160663,14897.0934348075,13478.3226314925,134783.226314925,28375.4160663,0.0,baseline_inprov
2026,guizhou,13658.7005049,7170.8177650725,6487.8827398275,64878.82739827499,13658.7005049,0.0,baseline_inprov
2026,hainan,16041.87897658,0.0,16041.87897658,160418.7897658,16041.87897658,0.0,baseline_inprov
2026,hebei,48312.8287584,32746.57753836,16269.33145244,162693.3145244,49015.9089908,0.0,baseline_inprov
2026,heilongjiang,7429.583426130001,0.0,7429.583426130001,74295.83426130001,7429.583426130001,0.0,baseline_inprov
2026,henan,61255.6379582,32159.209928055,29096.428030145,290964.28030145,61255.6379582,0.0,baseline_inprov
2026,hubei,37411.5478076,19641.06259899,17770.48520861,177704.8520861,37411.5478076,0.0,baseline_inprov
2026,hunan,37396.592808,19633.2112242,17763.3815838,177633.815838,37396.592808,0.0,baseline_inprov
2026,inner mongolia,8383.99413386,4401.5969202765,3982.3972135834997,39823.972135835,8383.99413386,0.0,baseline_inprov
